zooMS_ID,sample,sd,MDS.Model,sample_name,replicate,layer,Q2E,batch,plate,GA_q2e,spectra_name,file_agg
Bison/Yak,DC10473,0.10391214754908085,0.8211248118601675,DC10473,1,11.2,0.84,20,3,0.16000000000000003,DC10473_1,Bison_Yak_1.mzML
Bison/Yak,DC10475,0.10347135135473011,0.870511089487151,DC10475,1,11.2,0.82,20,3,0.18000000000000005,DC10475_1,Bison_Yak_1.mzML
Bison/Yak,DC10479,0.0926181666746327,0.5783483254786805,DC10479,1,11.2,0.943333333333333,20,3,0.056666666666666976,DC10479_1,Bison_Yak_1.mzML
Bison/Yak,DC10482,0.08828018914265767,0.6811646144675892,DC10482,1,11.2,0.94,20,3,0.06000000000000005,DC10482_1,Bison_Yak_1.mzML
Bison/Yak,DC10487,0.10338403651485363,0.9252625943860613,DC10487,1,11.2,0.76,20,3,0.24,DC10487_1,Bison_Yak_1.mzML
Bison/Yak,DC10490,0.08486754078970583,1.0937352566622154,DC10490,1,11.2,0.556666666666667,20,3,0.443333333333333,DC10490_1,Bison_Yak_1.mzML
Bison/Yak,DC10494,0.0944524386606975,0.9902139807487387,DC10494,1,11.2,0.726666666666667,20,3,0.273333333333333,DC10494_1,Bison_Yak_1.mzML
Bison/Yak,DC10495,0.10189524954249307,0.8118968836730809,DC10495,1,11.2,0.823333333333333,20,3,0.17666666666666697,DC10495_1,Bison_Yak_1.mzML
Bison/Yak,DC10496,0.10329503196012839,0.9662998239129063,DC10496,1,11.2,0.71,20,3,0.29000000000000004,DC10496_1,Bison_Yak_1.mzML
Bison/Yak,DC10497,0.0904595654334314,0.9399064650900328,DC10497,1,11.2,0.69,20,3,0.31000000000000005,DC10497_1,Bison_Yak_1.mzML
Bison/Yak,DC10499,0.08883020531574405,0.95189702457594,DC10499,1,11.2,0.766666666666667,20,3,0.23333333333333295,DC10499_1,Bison_Yak_1.mzML
Bison/Yak,DC10507,0.10169269993957128,0.7398789967494915,DC10507,1,11.2,0.886666666666667,20,3,0.11333333333333295,DC10507_1,Bison_Yak_1.mzML
Bison/Yak,DC10510,0.10642013410804801,0.90978689234532,DC10510,1,11.2,0.653333333333333,20,3,0.346666666666667,DC10510_1,Bison_Yak_1.mzML
Bison/Yak,DC10511,0.09809627434186052,1.0200860042841757,DC10511,1,11.2,0.763333333333333,20,3,0.23666666666666702,DC10511_1,Bison_Yak_1.mzML
Bison/Yak,DC10513,0.09246037824091867,0.8087323143853571,DC10513,1,11.2,0.816666666666667,20,3,0.18333333333333302,DC10513_1,Bison_Yak_1.mzML
Bison/Yak,DC10518,0.10412373737448685,1.081401007548962,DC10518,1,11.2,0.68,20,3,0.31999999999999995,DC10518_1,Bison_Yak_1.mzML
Bison/Yak,DC10793,0.1726234537788596,1.1146607929331842,DC10793,1,17.1,0.443333333333333,20,8,0.556666666666667,DC10793_1,Bison_Yak_1.mzML
Bison/Yak,DC12287,0.11121462946477309,0.9259025975006313,DC12287,1,13,0.69,NA,12,0.31000000000000005,DC12287_1,Bison_Yak_1.mzML
Bison/Yak,DC3848,0.09003636979576563,1.0513079034247408,DC3848,1,12,0.706666666666667,4,4,0.293333333333333,DC3848_1,Bison_Yak_1.mzML
Bison/Yak,DC3851,0.20984707331046754,1.1278103180033097,DC3851,1,12,0.703333333333333,4,4,0.29666666666666697,DC3851_1,Bison_Yak_1.mzML
Bison/Yak,DC3857,0.07824184240191392,1.11239687253539,DC3857,1,12,0.64,4,4,0.36,DC3857_1,Bison_Yak_1.mzML
Bison/Yak,DC3859,0.10782885992617795,1.0517685644957993,DC3859,1,12,0.723333333333333,4,4,0.27666666666666695,DC3859_1,Bison_Yak_1.mzML
Bison/Yak,DC3861,0.1678793308601836,0.9442934803342017,DC3861,1,12,0.756666666666667,4,4,0.24333333333333296,DC3861_1,Bison_Yak_1.mzML
Bison/Yak,DC3871,0.10676203877164236,1.0039911686486007,DC3871,1,12,0.74,4,4,0.26,DC3871_1,Bison_Yak_1.mzML
Bison/Yak,DC3881,0.08731616693120398,0.9046286074082083,DC3881,1,12,0.706666666666667,4,4,0.293333333333333,DC3881_1,Bison_Yak_1.mzML
Bison/Yak,DC3885,0.18791740709397747,0.9706228052130284,DC3885,1,12,0.68,4,4,0.31999999999999995,DC3885_1,Bison_Yak_1.mzML
Bison/Yak,DC3892,0.07872234930314051,0.8823974548876197,DC3892,1,12,0.72,4,4,0.28,DC3892_1,Bison_Yak_1.mzML
Bison/Yak,DC3893,0.0972494853815185,1.168069359768544,DC3893,1,12,0.623333333333334,4,4,0.37666666666666604,DC3893_1,Bison_Yak_1.mzML
Bison/Yak,DC3894,0.08322079477772902,1.1971392934607812,DC3894,1,12,0.64,4,4,0.36,DC3894_1,Bison_Yak_1.mzML
Bison/Yak,DC3896,0.17720326359778876,1.2254136006192222,DC3896,1,12,0.603333333333333,4,4,0.39666666666666694,DC3896_1,Bison_Yak_1.mzML
Bison/Yak,DC3897,0.19178908483254978,1.3474670838117448,DC3897,1,12,0.526666666666667,4,4,0.47333333333333305,DC3897_1,Bison_Yak_1.mzML
Bison/Yak,DC3904,0.1020911184444127,1.210520213925839,DC3904,1,12,0.433333333333333,4,4,0.566666666666667,DC3904_1,Bison_Yak_1.mzML
Bison/Yak,DC3907,0.17760885008750052,1.2842681221662482,DC3907,1,12,0.59,4,4,0.41000000000000003,DC3907_1,Bison_Yak_1.mzML
Bison/Yak,DC3908,0.20717556804369294,1.0414080746003762,DC3908,1,12,0.63,4,4,0.37,DC3908_1,Bison_Yak_1.mzML
Bison/Yak,DC3918,0.14137984576169474,0.7984493015547217,DC3918,1,12,0.773333333333334,4,4,0.22666666666666602,DC3918_1,Bison_Yak_1.mzML
Bison/Yak,DC3932,0.20703579622000637,1.070753507970171,DC3932,1,12,0.69,4,4,0.31000000000000005,DC3932_1,Bison_Yak_1.mzML
Bison/Yak,DC3941,0.14132787107456787,0.8022930118931344,DC3941,1,12,0.626666666666667,4,4,0.37333333333333296,DC3941_1,Bison_Yak_1.mzML
Bison/Yak,DC3950,0.15806360664084637,1.0449951161890567,DC3950,1,12,0.6,4,4,0.4,DC3950_1,Bison_Yak_1.mzML
Bison/Yak,DC3958,0.22849105727324945,1.024010054968817,DC3958,1,12,0.68,4,4,0.31999999999999995,DC3958_1,Bison_Yak_1.mzML
Bison/Yak,DC3966,0.10777327700452892,0.9057065568076422,DC3966,1,12,0.64,4,5,0.36,DC3966_1,Bison_Yak_1.mzML
Bison/Yak,DC3973,0.11795971445617923,0.8418109792652436,DC3973,1,12,0.753333333333333,4,5,0.24666666666666703,DC3973_1,Bison_Yak_1.mzML
Bison/Yak,DC3976,0.14292418658792552,1.0017474702381892,DC3976,1,12,0.68,4,5,0.31999999999999995,DC3976_1,Bison_Yak_1.mzML
Bison/Yak,DC3985,0.10270796989588722,0.6827628992869926,DC3985,1,12,0.826666666666667,4,5,0.173333333333333,DC3985_1,Bison_Yak_1.mzML
Bison/Yak,DC3986,0.11464381319488247,0.8322020740616595,DC3986,1,12,0.73,4,5,0.27,DC3986_1,Bison_Yak_1.mzML
Bison/Yak,DC3990,0.100985570884831,1.0222771712286391,DC3990,1,12,0.696666666666667,4,5,0.303333333333333,DC3990_1,Bison_Yak_1.mzML
Bison/Yak,DC3997,0.18392012864689009,0.9702309079180824,DC3997,1,12,0.723333333333333,4,5,0.27666666666666695,DC3997_1,Bison_Yak_1.mzML
Bison/Yak,DC3998,0.1447097122154193,0.8956460497704228,DC3998,1,12,0.816666666666667,4,5,0.18333333333333302,DC3998_1,Bison_Yak_1.mzML
Bison/Yak,DC5295,0.08261726561094675,0.8416549807593435,DC5295,1,11.2,0.84,7,A,0.16000000000000003,DC5295_1,Bison_Yak_1.mzML
Bison/Yak,DC5296,0.0850471231310269,1.1851099795098587,DC5296,1,11.2,0.636666666666667,7,A,0.36333333333333295,DC5296_1,Bison_Yak_1.mzML
Bison/Yak,DC5301,0.09111229669739802,0.6610702074264481,DC5301,1,11.2,0.883333333333333,7,A,0.11666666666666703,DC5301_1,Bison_Yak_1.mzML
Bison/Yak,DC5303,0.09576469804140236,0.8883301053606505,DC5303,1,11.2,0.75,7,A,0.25,DC5303_1,Bison_Yak_1.mzML
Bison/Yak,DC5304,0.11350152508683825,0.8580853499476622,DC5304,1,11.2,0.69,7,A,0.31000000000000005,DC5304_1,Bison_Yak_1.mzML
Bison/Yak,DC5305,0.09531041662768217,1.0773662926371097,DC5305,1,11.2,0.646666666666667,7,A,0.35333333333333306,DC5305_1,Bison_Yak_1.mzML
Bison/Yak,DC5306,0.09068375713179799,0.6667693390544452,DC5306,1,11.2,0.85,7,A,0.15000000000000002,DC5306_1,Bison_Yak_1.mzML
Bison/Yak,DC5311,0.09494928041758015,1.129668589349942,DC5311,1,11.2,0.686666666666667,7,A,0.313333333333333,DC5311_1,Bison_Yak_1.mzML
Bison/Yak,DC5313,0.09779038767614233,0.7083744341037274,DC5313,1,11.2,0.91,7,A,0.08999999999999997,DC5313_1,Bison_Yak_1.mzML
Bison/Yak,DC5314,0.13675410539995903,1.2004066820068502,DC5314,1,11.2,0.593333333333333,7,A,0.40666666666666695,DC5314_1,Bison_Yak_1.mzML
Bison/Yak,DC5316,0.10351964962092733,0.9861768936701192,DC5316,1,11.2,0.783333333333333,7,A,0.216666666666667,DC5316_1,Bison_Yak_1.mzML
Bison/Yak,DC5317,0.10257178913649911,0.7827323334255633,DC5317,1,11.2,0.82,7,A,0.18000000000000005,DC5317_1,Bison_Yak_1.mzML
Bison/Yak,DC5320,0.08776010650905343,0.6714046877371054,DC5320,1,11.2,0.856666666666666,7,A,0.14333333333333398,DC5320_1,Bison_Yak_1.mzML
Bison/Yak,DC5324,0.09214357139534697,1.1513709423248315,DC5324,1,11.2,0.606666666666667,7,A,0.393333333333333,DC5324_1,Bison_Yak_1.mzML
Bison/Yak,DC5327,0.09940813469233448,0.8776407709812349,DC5327,1,11.2,0.74,7,A,0.26,DC5327_1,Bison_Yak_1.mzML
Bison/Yak,DC5330,0.08624357428861394,0.5822995824155082,DC5330,1,11.2,0.91,7,A,0.08999999999999997,DC5330_1,Bison_Yak_1.mzML
Bison/Yak,DC5336,0.10996338198718592,0.7766568774813046,DC5336,1,11.2,0.84,7,A,0.16000000000000003,DC5336_1,Bison_Yak_1.mzML
Bison/Yak,DC5337,0.09757640990217459,0.776098104986929,DC5337,1,11.2,0.84,7,A,0.16000000000000003,DC5337_1,Bison_Yak_1.mzML
