sample_name,replicate,layer,Q2E,zooMS_ID,batch,plate
DC10444,1,11.2,0.746666666666667,Equidae,20,3
DC10444,2,11.2,0.746666666666667,Equidae,20,3
DC10444,3,11.2,0.746666666666667,Equidae,20,3
DC10445,1,11.2,0.753333333333333,Cervidae/Gazella/Saiga,20,3
DC10445,2,11.2,0.753333333333333,Cervidae/Gazella/Saiga,20,3
DC10445,3,11.2,0.753333333333333,Cervidae/Gazella/Saiga,20,3
DC10446,1,11.2,0.78,Cervidae/Gazella/Saiga,20,3
DC10446,2,11.2,0.78,Cervidae/Gazella/Saiga,20,3
DC10446,3,11.2,0.78,Cervidae/Gazella/Saiga,20,3
DC10447,1,11.2,0.686666666666667,Cervidae/Gazella/Saiga,20,3
DC10447,2,11.2,0.686666666666667,Cervidae/Gazella/Saiga,20,3
DC10447,3,11.2,0.686666666666667,Cervidae/Gazella/Saiga,20,3
DC10448,1,11.2,0.823333333333333,Bison/Yak,20,3
DC10448,2,11.2,0.823333333333333,Bison/Yak,20,3
DC10448,3,11.2,0.823333333333333,Bison/Yak,20,3
DC10449,1,11.2,0.64,Equidae,20,3
DC10449,2,11.2,0.64,Equidae,20,3
DC10449,3,11.2,0.64,Equidae,20,3
DC10450,1,11.2,0.696666666666667,Bison/Yak,20,3
DC10450,2,11.2,0.696666666666667,Bison/Yak,20,3
DC10450,3,11.2,0.696666666666667,Bison/Yak,20,3
DC10451,1,11.2,0.826666666666667,Capra,20,3
DC10451,2,11.2,0.826666666666667,Capra,20,3
DC10451,3,11.2,0.826666666666667,Capra,20,3
DC10453,1,11.2,0.77,Bison/Yak,20,3
DC10453,2,11.2,0.77,Bison/Yak,20,3
DC10453,3,11.2,0.77,Bison/Yak,20,3
DC10454,1,11.2,0.713333333333333,Bison/Yak,20,3
DC10454,2,11.2,0.713333333333333,Bison/Yak,20,3
DC10454,3,11.2,0.713333333333333,Bison/Yak,20,3
DC10455,1,11.2,0.81,Cervidae/Gazella/Saiga,20,3
DC10455,2,11.2,0.81,Cervidae/Gazella/Saiga,20,3
DC10455,3,11.2,0.81,Cervidae/Gazella/Saiga,20,3
DC10456,1,11.2,0.793333333333333,Capra,20,3
DC10456,2,11.2,0.793333333333333,Capra,20,3
DC10456,3,11.2,0.793333333333333,Capra,20,3
DC10458,1,11.2,0.676666666666667,Bison/Yak,20,3
DC10458,2,11.2,0.676666666666667,Bison/Yak,20,3
DC10458,3,11.2,0.676666666666667,Bison/Yak,20,3
DC10459,1,11.2,0.86,Bison/Yak,20,3
DC10459,2,11.2,0.86,Bison/Yak,20,3
DC10459,3,11.2,0.86,Bison/Yak,20,3
DC10460,1,11.2,0.903333333333333,Bison/Yak,20,3
DC10460,2,11.2,0.903333333333333,Bison/Yak,20,3
DC10460,3,11.2,0.903333333333333,Bison/Yak,20,3
DC10461,1,11.2,0.886666666666667,Bison/Yak,20,3
DC10461,2,11.2,0.886666666666667,Bison/Yak,20,3
DC10461,3,11.2,0.886666666666667,Bison/Yak,20,3
DC10462,1,11.2,0.906666666666667,Bison/Yak,20,3
DC10462,2,11.2,0.906666666666667,Bison/Yak,20,3
DC10462,3,11.2,0.906666666666667,Bison/Yak,20,3
DC10465,1,11.2,0.836666666666667,Cervidae/Gazella/Saiga,20,3
DC10465,2,11.2,0.836666666666667,Cervidae/Gazella/Saiga,20,3
DC10465,3,11.2,0.836666666666667,Cervidae/Gazella/Saiga,20,3
DC10466,1,11.2,0.6,Rhinocerotidae,20,3
DC10466,2,11.2,0.6,Rhinocerotidae,20,3
DC10466,3,11.2,0.6,Rhinocerotidae,20,3
DC10467,1,11.2,0.836666666666667,Elephantidae,20,3
DC10467,2,11.2,0.836666666666667,Elephantidae,20,3
DC10467,3,11.2,0.836666666666667,Elephantidae,20,3
DC10468,1,11.2,0.493333333333333,Ursidae,20,3
DC10468,2,11.2,0.493333333333333,Ursidae,20,3
DC10468,3,11.2,0.493333333333333,Ursidae,20,3
DC10469,1,11.2,0.716666666666667,Equidae,20,3
DC10469,2,11.2,0.716666666666667,Equidae,20,3
DC10469,3,11.2,0.716666666666667,Equidae,20,3
DC10470,1,11.2,0.743333333333333,Bison/Yak,20,3
DC10470,2,11.2,0.743333333333333,Bison/Yak,20,3
DC10470,3,11.2,0.743333333333333,Bison/Yak,20,3
DC10471,1,11.2,0.84,Equidae,20,3
DC10471,2,11.2,0.84,Equidae,20,3
DC10471,3,11.2,0.84,Equidae,20,3
DC10472,1,11.2,0.65,Bison/Yak,20,3
DC10472,2,11.2,0.65,Bison/Yak,20,3
DC10472,3,11.2,0.65,Bison/Yak,20,3
DC10473,1,11.2,0.84,Bison/Yak,20,3
DC10473,2,11.2,0.84,Bison/Yak,20,3
DC10473,3,11.2,0.84,Bison/Yak,20,3
DC10474,1,11.2,0.736666666666667,Ovis/Capra,20,3
DC10474,2,11.2,0.736666666666667,Ovis/Capra,20,3
DC10474,3,11.2,0.736666666666667,Ovis/Capra,20,3
DC10475,1,11.2,0.82,Bison/Yak,20,3
DC10475,2,11.2,0.82,Bison/Yak,20,3
DC10475,3,11.2,0.82,Bison/Yak,20,3
DC10476,1,11.2,0.78,Canidae,20,3
DC10476,2,11.2,0.78,Canidae,20,3
DC10476,3,11.2,0.78,Canidae,20,3
DC10477,1,11.2,0.736666666666667,Cervidae/Gazella/Saiga,20,3
DC10477,2,11.2,0.736666666666667,Cervidae/Gazella/Saiga,20,3
DC10477,3,11.2,0.736666666666667,Cervidae/Gazella/Saiga,20,3
DC10478,1,11.2,0.82,Cervidae/Gazella/Saiga,20,3
DC10478,2,11.2,0.82,Cervidae/Gazella/Saiga,20,3
DC10478,3,11.2,0.82,Cervidae/Gazella/Saiga,20,3
DC10479,1,11.2,0.943333333333333,Bison/Yak,20,3
DC10479,2,11.2,0.943333333333333,Bison/Yak,20,3
DC10479,3,11.2,0.943333333333333,Bison/Yak,20,3
DC10480,1,11.2,0.863333333333333,Cervidae/Gazella/Saiga,20,3
DC10480,2,11.2,0.863333333333333,Cervidae/Gazella/Saiga,20,3
DC10480,3,11.2,0.863333333333333,Cervidae/Gazella/Saiga,20,3
DC10482,1,11.2,0.94,Bison/Yak,20,3
DC10482,2,11.2,0.94,Bison/Yak,20,3
DC10482,3,11.2,0.94,Bison/Yak,20,3
DC10483,1,11.2,0.773333333333333,Rhinocerotidae,20,3
DC10483,2,11.2,0.773333333333333,Rhinocerotidae,20,3
DC10483,3,11.2,0.773333333333333,Rhinocerotidae,20,3
DC10484,1,11.2,0.76,Cervidae/Gazella/Saiga,20,3
DC10484,2,11.2,0.76,Cervidae/Gazella/Saiga,20,3
DC10484,3,11.2,0.76,Cervidae/Gazella/Saiga,20,3
DC10485,1,11.2,0.686666666666667,Ovis/Capra,20,3
DC10485,2,11.2,0.686666666666667,Ovis/Capra,20,3
DC10485,3,11.2,0.686666666666667,Ovis/Capra,20,3
DC10486,1,11.2,0.843333333333333,Equidae,20,3
DC10486,2,11.2,0.843333333333333,Equidae,20,3
DC10486,3,11.2,0.843333333333333,Equidae,20,3
DC10487,1,11.2,0.76,Bison/Yak,20,3
DC10487,2,11.2,0.76,Bison/Yak,20,3
