zooMS_ID,sample,pep_number,q2e,gamma_0,gamma_1,gamma_2,residual,reliability,sd,MDS.Model
Bison/Yak,DC10470,pep4,0.6648762399611379,0.3648076083106957,0.7237681711816071,0,0.06344783804147812,0.9365521619585219,0.10880697295734928,0.9688154453883265
Bison/Yak,DC10470,pep7,0.41375429626730453,0.5845968425304368,0.41259058043614494,0,0.15788215671986733,0.8421178432801326,0.10880697295734928,0.9688154453883265
Bison/Yak,DC10472,pep1,0.6627940753942767,0.4100618573094181,0.8059958314422887,0,0.03841362299004415,0.9615863770099559,0.08967122559100263,1.0938088691555852
Bison/Yak,DC10472,pep2,0.3809962822763169,0.8036953860632402,0.49467385316966783,0,0.04145279251940133,0.9585472074805986,0.08967122559100263,1.0938088691555852
Bison/Yak,DC10472,pep3,0.570736406826408,0.5049384777530812,0.6713515356161323,0,0.06294136686215704,0.937058633137843,0.08967122559100263,1.0938088691555852
Bison/Yak,DC10472,pep4,0.7179755365229201,0.303737494430225,0.7732523903671619,0,0.04575617671351959,0.9542438232864804,0.08967122559100263,1.0938088691555852
Bison/Yak,DC10472,pep7,0.5818910703878775,0.464077056458421,0.6458658880487504,0,0.05338384198077074,0.9466161580192293,0.08967122559100263,1.0938088691555852
Bison/Yak,DC10473,pep1,0.4102508282701264,0.8398342102310643,0.5842190152573787,0,0.0495163424147698,0.9504836575852302,0.10391214754908085,0.8211248118601675
Bison/Yak,DC10473,pep2,0.2077793818453625,1.0006932972112672,0.26245647985744425,0,0.03435200781336727,0.9656479921866328,0.10391214754908085,0.8211248118601675
Bison/Yak,DC10473,pep3,0.496266515576954,0.6268868728665178,0.6175943701950314,0,0.13079371945681098,0.869206280543189,0.10391214754908085,0.8211248118601675
Bison/Yak,DC10473,pep4,0.5513336012841008,0.5167078203656769,0.6349447701659854,0,0.050754419489971885,0.9492455805100282,0.10391214754908085,0.8211248118601675
Bison/Yak,DC10475,pep1,0.3496533046463053,0.991867085754123,0.5332688038265729,0,0.08238057897027982,0.9176194210297202,0.10347135135473011,0.870511089487151
Bison/Yak,DC10475,pep2,0.21951799900536528,1.0030603806778151,0.28212028895906277,0,0.03134032161856433,0.9686596783814356,0.10347135135473011,0.870511089487151
Bison/Yak,DC10475,pep3,0.5907820699155271,0.5009096117126632,0.7231560386102899,0,0.12395879749402092,0.87604120250597906,0.10347135135473011,0.870511089487151
Bison/Yak,DC10475,pep4,0.5680165879028085,0.4879097330630448,0.6415543143973484,0,0.06011735943141177,0.9398826405685883,0.10347135135473011,0.870511089487151
Bison/Yak,DC10475,pep7,0.34958646774533764,0.7323704700119881,0.3936369601735763,0,0.020575378846928418,0.9794246211530716,0.10347135135473011,0.870511089487151
Bison/Yak,DC10479,pep1,0.2597888539211214,0.997689239697477,0.35015487881186647,0,0.04673239091956018,0.9532676090804398,0.0926181666746327,0.5783483254786805
Bison/Yak,DC10479,pep2,0.08682424848893011,1.0008965336991964,0.09516469224002871,0,0.030922750051036556,0.9690772499489635,0.0926181666746327,0.5783483254786805
Bison/Yak,DC10479,pep3,0.37162921829658835,0.7994050816247253,0.47278182601230284,0,0.07466897515190649,0.9253310248480935,0.0926181666746327,0.5783483254786805
Bison/Yak,DC10479,pep4,0.3902562202134062,0.7437864829013081,0.47604799111600515,0,0.05711824248400723,0.9428817575159928,0.0926181666746327,0.5783483254786805
Bison/Yak,DC10482,pep1,0.2804441209944717,0.9993203315760567,0.38948123440820104,0,0.03522143536870712,0.9647785646312929,0.08828018914265767,0.6811646144675892
Bison/Yak,DC10482,pep2,0.10829150421646905,1.0015450608571181,0.12163035531638744,0,0.03098752680453932,0.9690124731954607,0.08828018914265767,0.6811646144675892
Bison/Yak,DC10482,pep3,0.4177424884434746,0.7205418708413618,0.5169550382412992,0,0.06490231944999778,0.9350976805500022,0.08828018914265767,0.6811646144675892
Bison/Yak,DC10482,pep4,0.49067025097725114,0.5943509904014621,0.5725767053434724,0,0.05909444857988023,0.9409055514201198,0.08828018914265767,0.6811646144675892
